"id","name","abrv","colors","hasMultipleColors","ext","size","description","warranty","type","section","retail","jobber","weight","length","width","height","rushManufacture","isMultiColor"
"1","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","G1","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","421.25","337.00","9","9","9","24","0","0"
"2","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","G2","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","498.75","399.00","11","9","9","24","0","0"
"3","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","G3","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","558.75","447.00","11","9","9","24","0","0"
"4","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","G4","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","670.00","536.00","18","9","9","24","0","0"
"5","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","G5","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","801.25","641.00","18","9","9","24","0","0"
"6","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","T1","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","591.25","473.00","20","9","9","24","0","0"
"7","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","T2","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","690.00","552.00","20","9","9","24","0","0"
"8","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","T3","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","815.00","652.00","11","9","9","24","0","0"
"9","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","T4","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","972.50","778.00","22","9","9","24","0","0"
"10","Form-Fit","ff","Black.Bright Red.Charcoal Gray.Hunter Green.Metallic Dark Blue.Silver Gray","1","FB.FC.FD.FG.FN.FR","T5","Softest Cover Available! Body Hugging Polyester Knit. Spandex To Provide Stretch And Recovery. Finished On Inside w/100 percent Cotton Terry Loop Sheared To A Luxurious Soft Fleece Finish. 4 Year Warranty.","4 Years","Indoor","form-fit.php","1083.75","867.00","24","9","9","24","0","0"
